Metadata_Source,Metadata_Batch,Metadata_Plate,Metadata_Well,Metadata_Site,FileName_OrigAGP,FileName_OrigDNA,FileName_OrigER,FileName_OrigMito,FileName_OrigRNA,PathName_OrigAGP,PathName_OrigDNA,PathName_OrigER,PathName_OrigMito,PathName_OrigRNA
source_4,2021_04_26_Batch1,BR00117035,A01,1,r01c01f01p01-ch2sk1fk1fl1.tiff,r01c01f01p01-ch5sk1fk1fl1.tiff,r01c01f01p01-ch4sk1fk1fl1.tiff,r01c01f01p01-ch1sk1fk1fl1.tiff,r01c01f01p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A01,2,r01c01f02p01-ch2sk1fk1fl1.tiff,r01c01f02p01-ch5sk1fk1fl1.tiff,r01c01f02p01-ch4sk1fk1fl1.tiff,r01c01f02p01-ch1sk1fk1fl1.tiff,r01c01f02p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A01,3,r01c01f03p01-ch2sk1fk1fl1.tiff,r01c01f03p01-ch5sk1fk1fl1.tiff,r01c01f03p01-ch4sk1fk1fl1.tiff,r01c01f03p01-ch1sk1fk1fl1.tiff,r01c01f03p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A01,4,r01c01f04p01-ch2sk1fk1fl1.tiff,r01c01f04p01-ch5sk1fk1fl1.tiff,r01c01f04p01-ch4sk1fk1fl1.tiff,r01c01f04p01-ch1sk1fk1fl1.tiff,r01c01f04p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A01,5,r01c01f05p01-ch2sk1fk1fl1.tiff,r01c01f05p01-ch5sk1fk1fl1.tiff,r01c01f05p01-ch4sk1fk1fl1.tiff,r01c01f05p01-ch1sk1fk1fl1.tiff,r01c01f05p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A01,6,r01c01f06p01-ch2sk1fk1fl1.tiff,r01c01f06p01-ch5sk1fk1fl1.tiff,r01c01f06p01-ch4sk1fk1fl1.tiff,r01c01f06p01-ch1sk1fk1fl1.tiff,r01c01f06p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A01,7,r01c01f07p01-ch2sk1fk1fl1.tiff,r01c01f07p01-ch5sk1fk1fl1.tiff,r01c01f07p01-ch4sk1fk1fl1.tiff,r01c01f07p01-ch1sk1fk1fl1.tiff,r01c01f07p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A01,8,r01c01f08p01-ch2sk1fk1fl1.tiff,r01c01f08p01-ch5sk1fk1fl1.tiff,r01c01f08p01-ch4sk1fk1fl1.tiff,r01c01f08p01-ch1sk1fk1fl1.tiff,r01c01f08p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A01,9,r01c01f09p01-ch2sk1fk1fl1.tiff,r01c01f09p01-ch5sk1fk1fl1.tiff,r01c01f09p01-ch4sk1fk1fl1.tiff,r01c01f09p01-ch1sk1fk1fl1.tiff,r01c01f09p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
source_4,2021_04_26_Batch1,BR00117035,A02,1,r01c02f01p01-ch2sk1fk1fl1.tiff,r01c02f01p01-ch5sk1fk1fl1.tiff,r01c02f01p01-ch4sk1fk1fl1.tiff,r01c02f01p01-ch1sk1fk1fl1.tiff,r01c02f01p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/,/home/ubuntu/bucket/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/
